time,open,high,low,close,Volume
2025-05-22T22:30:00+03:00,178.75,178.83,178.03,178.04,17108.507
2025-05-22T22:45:00+03:00,178.04,178.08,177.5,177.85,44749.359
2025-05-22T23:00:00+03:00,177.86,178.7,177.59,178.65,30440.152
2025-05-22T23:15:00+03:00,178.66,178.73,178.25,178.39,21106.126
2025-05-22T23:30:00+03:00,178.38,178.48,177.89,178.33,18991.893
2025-05-22T23:45:00+03:00,178.33,178.6,178.23,178.54,11436.245
2025-05-23T00:00:00+03:00,178.55,178.55,177.89,178.09,14034.69
2025-05-23T00:15:00+03:00,178.1,178.28,177.31,177.38,18442.815
2025-05-23T00:30:00+03:00,177.37,178.1,177.32,177.99,11999.746
2025-05-23T00:45:00+03:00,178,178.36,177.92,178.08,7829.247
2025-05-23T01:00:00+03:00,178.09,178.86,178.07,178.63,23393.62
2025-05-23T01:15:00+03:00,178.62,179.13,178.62,178.86,16978.443
2025-05-23T01:30:00+03:00,178.86,179.35,178.76,179.01,23192.632
2025-05-23T01:45:00+03:00,179.01,179.01,178.02,178.1,19803.131
2025-05-23T02:00:00+03:00,178.11,179.03,178.11,178.94,12269.292
2025-05-23T02:15:00+03:00,178.95,179.33,178.73,179.27,9468.183
2025-05-23T02:30:00+03:00,179.26,179.8,179.2,179.71,18938.143
2025-05-23T02:45:00+03:00,179.72,180.02,179.53,179.68,25104.466
2025-05-23T03:00:00+03:00,179.68,181.12,179.29,181.1,107261.562
2025-05-23T03:15:00+03:00,181.11,181.87,180.29,180.46,75587.771
2025-05-23T03:30:00+03:00,180.46,180.55,179.28,180.15,38135.706
2025-05-23T03:45:00+03:00,180.15,181.44,179.99,180.72,33117.453
2025-05-23T04:00:00+03:00,180.73,181.99,180.35,181.74,46254.756
2025-05-23T04:15:00+03:00,181.74,182.81,181.19,182.34,76117.996
2025-05-23T04:30:00+03:00,182.34,183.2,181.93,182.44,65258.871
2025-05-23T04:45:00+03:00,182.44,183.58,182.39,183.14,43693.94
2025-05-23T05:00:00+03:00,183.14,183.94,183.14,183.88,50800.031
2025-05-23T05:15:00+03:00,183.89,185,183.56,184.72,150261.831
2025-05-23T05:30:00+03:00,184.71,185.4,183.81,184.21,126212.506
2025-05-23T05:45:00+03:00,184.21,184.58,183.42,183.76,56800.214
2025-05-23T06:00:00+03:00,183.76,184.65,183.72,184.63,34025.74
2025-05-23T06:15:00+03:00,184.64,185.4,184.01,184.25,50427.661
2025-05-23T06:30:00+03:00,184.24,184.76,184,184.69,23216.751
2025-05-23T06:45:00+03:00,184.7,185.32,184.38,185,33929.889
2025-05-23T07:00:00+03:00,185.01,185.32,183.93,184.09,46425.99
2025-05-23T07:15:00+03:00,184.09,184.19,182.96,183.37,49634.233
2025-05-23T07:30:00+03:00,183.37,183.5,181.94,182.18,53258.916
2025-05-23T07:45:00+03:00,182.18,182.74,182.04,182.64,25637.89
2025-05-23T08:00:00+03:00,182.63,183.05,182.04,182.96,22668.256
2025-05-23T08:15:00+03:00,182.97,183.01,181.63,181.69,31383.476
2025-05-23T08:30:00+03:00,181.7,182.11,181.33,181.66,92576.908
2025-05-23T08:45:00+03:00,181.67,181.99,181.36,181.94,21552.645
2025-05-23T09:00:00+03:00,181.94,182.02,180.79,180.88,32082.626
2025-05-23T09:15:00+03:00,180.88,180.94,180.17,180.72,47836.344
2025-05-23T09:30:00+03:00,180.73,181.04,180.12,180.92,45873.815
2025-05-23T09:45:00+03:00,180.92,181.02,179.99,180.84,71944.616
2025-05-23T10:00:00+03:00,180.84,182.14,180.83,182.13,37273.143
2025-05-23T10:15:00+03:00,182.14,182.9,181.96,182.74,34120.132
2025-05-23T10:30:00+03:00,182.73,182.86,182.18,182.75,36065.633
2025-05-23T10:45:00+03:00,182.75,183.12,181.84,182.55,33711.897
2025-05-23T11:00:00+03:00,182.56,184.13,182.56,184.12,55613.362
2025-05-23T11:15:00+03:00,184.12,184.99,183.35,184.87,58307.687
2025-05-23T11:30:00+03:00,184.86,186.57,184.86,186.15,123373.191
2025-05-23T11:45:00+03:00,186.15,186.84,185.91,186.19,69078.826
2025-05-23T12:00:00+03:00,186.18,187.38,185.86,186.89,61900.364
2025-05-23T12:15:00+03:00,186.89,187.71,186.38,186.4,57281.331
2025-05-23T12:30:00+03:00,186.4,186.77,186.24,186.48,35359.748
2025-05-23T12:45:00+03:00,186.48,187.07,186.39,186.84,29361.939
2025-05-23T13:00:00+03:00,186.84,187.18,185.96,186.14,40718.358
2025-05-23T13:15:00+03:00,186.15,186.61,185.53,186.34,54487.114
2025-05-23T13:30:00+03:00,186.34,186.79,185.78,186.17,29882.626
2025-05-23T13:45:00+03:00,186.18,186.34,185.58,185.93,27420.696
2025-05-23T14:00:00+03:00,185.94,186.15,185.08,185.3,30791.966
2025-05-23T14:15:00+03:00,185.3,185.73,184.19,184.84,48150.417
2025-05-23T14:30:00+03:00,184.84,184.95,183.23,183.59,79774.937
2025-05-23T14:45:00+03:00,183.6,183.69,177.1,177.91,413143.777
2025-05-23T15:00:00+03:00,177.91,178.13,175.34,175.94,284547.869
2025-05-23T15:15:00+03:00,175.95,177.06,173.29,176.98,277072.666
2025-05-23T15:30:00+03:00,176.97,180.72,176.6,177.14,256674.603
2025-05-23T15:45:00+03:00,177.14,177.48,176.18,176.93,83965.946
2025-05-23T16:00:00+03:00,176.92,177.19,175.59,176.2,91019.419
2025-05-23T16:15:00+03:00,176.2,177.69,175.91,177.51,73580.696
2025-05-23T16:30:00+03:00,177.52,179.97,177.31,178.87,141678.28
2025-05-23T16:45:00+03:00,178.87,180.4,178.25,180.15,89904.882
2025-05-23T17:00:00+03:00,180.15,180.84,179.12,180.13,91023.141
2025-05-23T17:15:00+03:00,180.13,180.66,179.39,179.9,70745.382
2025-05-23T17:30:00+03:00,179.91,181.32,179.88,181.27,48199.861
2025-05-23T17:45:00+03:00,181.27,183.76,181.21,182.21,99048.488
2025-05-23T18:00:00+03:00,182.22,183.26,181.35,181.76,95919.584
2025-05-23T18:15:00+03:00,181.75,182.38,181.4,181.73,48152.954
2025-05-23T18:30:00+03:00,181.73,182.92,181.67,182.48,58737.495
2025-05-23T18:45:00+03:00,182.49,182.5,180.59,180.66,65467.879
2025-05-23T19:00:00+03:00,180.67,181.45,180.3,180.58,77881.475
2025-05-23T19:15:00+03:00,180.57,182.15,179,181.98,131754.79
2025-05-23T19:30:00+03:00,181.99,182.25,179.92,180,54720.398
2025-05-23T19:45:00+03:00,180,181.25,179.99,181.2,33555.622
2025-05-23T20:00:00+03:00,181.2,182,180.97,181.58,39422.741
2025-05-23T20:15:00+03:00,181.58,182.15,181.3,181.87,31904.968
2025-05-23T20:30:00+03:00,181.87,181.87,180.65,180.87,22439.398
2025-05-23T20:45:00+03:00,180.87,181.83,180.76,181.45,25095.555
2025-05-23T21:00:00+03:00,181.45,181.74,180.53,180.76,27462.06
2025-05-23T21:15:00+03:00,180.76,180.86,179.2,180.07,49255.107
2025-05-23T21:30:00+03:00,180.07,180.21,179.43,179.66,29066.367
2025-05-23T21:45:00+03:00,179.67,179.68,178.41,178.87,45633.204
2025-05-23T22:00:00+03:00,178.87,180.14,178.72,179.94,33655.878
2025-05-23T22:15:00+03:00,179.94,179.98,179.16,179.52,17901.977
2025-05-23T22:30:00+03:00,179.52,179.88,179.3,179.72,16666.789
2025-05-23T22:45:00+03:00,179.72,179.73,178.75,179.14,22233.416
2025-05-23T23:00:00+03:00,179.13,179.26,177.58,177.6,40930.317
2025-05-23T23:15:00+03:00,177.6,178.29,177.6,178.04,20468.807
2025-05-23T23:30:00+03:00,178.05,178.07,176.85,177.36,44189.009
2025-05-23T23:45:00+03:00,177.36,177.73,177.12,177.24,20867.746
2025-05-24T00:00:00+03:00,177.24,177.4,176.41,177.39,52397.737
2025-05-24T00:15:00+03:00,177.4,178.54,177.39,177.51,57173.697
2025-05-24T00:30:00+03:00,177.51,177.51,176.57,177.29,37230.19
2025-05-24T00:45:00+03:00,177.29,178.03,176.46,177.15,22994.664
2025-05-24T01:00:00+03:00,177.15,177.81,176.88,177.78,28803.347
2025-05-24T01:15:00+03:00,177.77,178.07,177.08,177.08,23278.299
2025-05-24T01:30:00+03:00,177.07,177.28,175.68,175.81,48126.543
2025-05-24T01:45:00+03:00,175.82,176.22,175.45,175.67,38061.385
2025-05-24T02:00:00+03:00,175.67,176.01,175.17,175.64,46045.802
2025-05-24T02:15:00+03:00,175.63,175.69,174.61,174.89,49414.015
2025-05-24T02:30:00+03:00,174.89,175.12,173.23,174.07,84109.558
2025-05-24T02:45:00+03:00,174.06,174.67,173.39,174.01,56635.233
2025-05-24T03:00:00+03:00,174,175.31,173.25,174.64,53104.793
2025-05-24T03:15:00+03:00,174.65,174.93,173.71,173.99,40774.109
2025-05-24T03:30:00+03:00,174,175.27,173.98,174.46,36757.15
2025-05-24T03:45:00+03:00,174.46,174.54,172.5,172.75,82387.026
2025-05-24T04:00:00+03:00,172.75,173.76,172.6,173.17,41036.252
2025-05-24T04:15:00+03:00,173.18,174.78,173.15,174.43,30983.148
2025-05-24T04:30:00+03:00,174.43,174.64,174.06,174.4,26370.301
2025-05-24T04:45:00+03:00,174.4,174.7,173.65,173.81,20543.807
2025-05-24T05:00:00+03:00,173.8,174.57,173.24,174.25,34699.627
2025-05-24T05:15:00+03:00,174.25,174.94,174.25,174.66,20826.181
2025-05-24T05:30:00+03:00,174.67,175.1,174.43,175,21087.829
2025-05-24T05:45:00+03:00,175,175.01,174.51,174.91,15207.741
2025-05-24T06:00:00+03:00,174.91,175.65,174.66,175.48,33479.66
2025-05-24T06:15:00+03:00,175.47,176.02,175.42,175.8,39239.896
2025-05-24T06:30:00+03:00,175.8,175.88,174.72,174.91,48727.867
